"prod_id","prod_name","prod_desc","prod_img","prod_feat","prod_dim","prod_type","prod_price","prod_stock"
"d6be7f822aa7d3997a4a9e8a1994f8cf4765d6cc897771024bd8c38db506fdc5","Weaver, white-browed sparrow","natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo","http://dummyimage.com/176x137.png/ff4444/ffffff","[""Cross-platform"",""Front-line"",""Reverse-engineered"",""knowledge user"",""Open-architected"",""Centralized"",""Ergonomic""]","{""m"":""133.904""}",0,"8465.0","21005"
"6783ff284ff671642c8f63ab09f41145fc409a94eda9ef635c8d9be71665102f","Buffalo, african","massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue","http://dummyimage.com/128x188.jpg/ff4444/ffffff","[""parallelism"",""Robust"",""archive"",""array"",""hierarchy"",""value-added"",""systematic""]","{""m"":""646.047""}",0,"8843.43","13815"
"3769a5761b3dc7adfdec18e4f95c8d7f4e335a4c907a276663a180e97e2a8157","Azara's zorro","dui maecenas tristique est et tempus semper est quam pharetra","http://dummyimage.com/175x192.png/dddddd/000000","[""conglomeration"",""5th generation"",""capacity"",""matrices""]","{""x"":""531.022"",""y"":""398.006"",""z"":""268.244"",""m"":""763.293""}",1,"8978.33","16818"
"2fd4242248cc85bff78c6ebac2c5677ba8c56eab47b318d217bf986420e9f91c","Magpie, black-backed","luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus","http://dummyimage.com/213x247.png/ff4444/ffffff","[""global"",""optimizing""]","{""m"":""747.656""}",0,"6890.49","15219"
"08942e6998d55e6d88c802fd05ab77502ad108954cd02db842c20bdb1f12b415","Genoveva","pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam","http://dummyimage.com/107x139.bmp/5fa2dd/ffffff","[""didactic"",""incremental"",""open architecture"",""systemic"",""solution"",""orchestration"",""zero administration""]","{""x"":""390.149"",""y"":""640.071"",""z"":""217.638"",""m"":""911.62""}",1,"4533.34","17961"
"d3547e20d935ab5d47e795852a63174b4bd5471ca37b4564dfa7318ab926ec90","Argalis","magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit","http://dummyimage.com/166x139.jpg/ff4444/ffffff","[""Devolved"",""bi-directional"",""groupware"",""Progressive""]","{""m"":""127.708""}",0,"103.43","7013"
"9b3d07d292e66bf209cf85ad4955e2863d0969639870bdb77a5cc3b0e2bdcc1d","African snake (unidentified)","aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut","http://dummyimage.com/199x200.bmp/5fa2dd/ffffff","[""heuristic"",""Switchable""]","{""x"":""577.771"",""y"":""20.03"",""z"":""206.044"",""m"":""863.074""}",1,"7628.47","2312"
"e4d7f4f87e7357c59cb35f54408eb369faf4993080b2eb31c2ca70d273a28313","Owl, australian masked","nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu","http://dummyimage.com/196x209.jpg/5fa2dd/ffffff","[""algorithm"",""zero defect"",""core"",""Face to face""]","{""x"":""424.374"",""y"":""262.628"",""z"":""347.777"",""m"":""911.89""}",1,"5106.24","36788"
"5d6d1aef20f8a93c4e96235f83e01c88fb5545e4ce0f89d141b4130e05c48a96","Red-necked phalarope","luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient","http://dummyimage.com/154x189.jpg/cc0000/ffffff","[""concept"",""moratorium"",""Front-line"",""even-keeled""]","{""m"":""239.56""}",0,"4362.07","33285"
"3653709051053f3343fc49a8804d58c50fc35d661f3c7aeee14a2e5217242ef6","Tsessebe","nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor","http://dummyimage.com/190x240.png/dddddd/000000","[""capacity"",""Total"",""process improvement"",""Reverse-engineered""]","{""m"":""569.808""}",0,"1580.33","9773"
"4312bb838406d0780876726e813f519adcc1daa7352ff1e745d4f113a6923763","Antelope, four-horned","hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan","http://dummyimage.com/237x113.png/dddddd/000000","[""Virtual"",""Multi-channelled"",""Cross-platform"",""clear-thinking""]","{""m"":""698.881""}",0,"2585.51","21802"
"f6f5a65dbbb09f729f8699e01770a47bac0f7b38d6340a9e3cea492239d7ea22","Emerald green tree boa","ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna","http://dummyimage.com/222x138.png/5fa2dd/ffffff","[""3rd generation"",""function""]","{""m"":""850.615""}",0,"5288.8","1776"
"97091a12217f8aab470ece54c4ad7c5a2117ec4dece526e236b829a1f5a9e63c","Lion, steller's sea","sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non","http://dummyimage.com/218x195.bmp/ff4444/ffffff","[""Object-based"",""Cross-group"",""interface"",""Down-sized""]","{""x"":""247.066"",""y"":""111.155"",""z"":""206.691"",""m"":""323.663""}",1,"2310.48","20067"
"05cde8fe06016626ef0b68680fa23544fb69c53f8cb438e1322eee6154f10421","Hare, arctic","magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula","http://dummyimage.com/111x173.png/dddddd/000000","[""high-level"",""concept"",""maximized"",""Intuitive""]","{""m"":""894.651""}",0,"5508.03","22312"
"eb7ecde4e66c857cca499ab9b80d76f4f4fec7944f2b407dcece01b9eefc41a5","Cereopsis goose","ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia","http://dummyimage.com/246x234.bmp/ff4444/ffffff","[""moratorium"",""methodology"",""Phased"",""synergy""]","{""m"":""855.667""}",0,"2853.25","41029"
"f8f64d652557a9be67b95353d3b202fa3ff2035bae0982136da7f30deb41bb3d","Squirrel, african bush","porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl","http://dummyimage.com/159x205.png/cc0000/ffffff","[""Extended"",""Cross-platform"",""firmware"",""De-engineered""]","{""m"":""505.629""}",0,"6662.44","26541"
"4702280fd3219cb2faef8915f469072f20dab1bbac526bcd4bbf822f901cf5cd","Red-capped cardinal","duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in","http://dummyimage.com/248x208.png/5fa2dd/ffffff","[""functionalities"",""stable"",""Implemented"",""website""]","{""m"":""240.321""}",0,"8866.35","35280"
"7ae18264bae64568f5655631461916f95059cab5f12bae2657a99dbff5519db7","Snowy owl","mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea","http://dummyimage.com/230x208.bmp/dddddd/000000","[""zero administration"",""motivating"",""Graphic Interface"",""moderator""]","{""m"":""867.582""}",0,"3481.75","21625"
"2a2dc2358acb2899ebe0fe6f0de554c416964fbe7fbdb9d7933c0078949b0cb5","Pallas's fish eagle","maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat","http://dummyimage.com/248x134.bmp/ff4444/ffffff","[""help-desk"",""conglomeration"",""orchestration"",""leading edge"",""De-engineered"",""time-frame"",""moderator""]","{""x"":""55.832"",""y"":""192.607"",""z"":""875.428"",""m"":""246.56""}",1,"4093.15","18501"
"453ee6cf8d1b77c874df2a0a0c612713961794f982f39282f3d5e051865ce224","Vulture, king","morbi porttitor lorem id ligula suspendisse ornare consequat lectus in","http://dummyimage.com/245x143.png/cc0000/ffffff","[""Reduced"",""zero defect"",""Face to face"",""value-added""]","{""m"":""830.542""}",0,"6282.81","22810"
"82aae78ac6af35b7cd59f53e9411fe4752e8177bf8e22f75a99041358ef05e7d","Pied cormorant","tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id","http://dummyimage.com/135x217.bmp/5fa2dd/ffffff","[""Customizable"",""incremental"",""user-facing"",""algorithm""]","{""m"":""312.099""}",0,"1168.01","43834"
"d1afacf9b6358a7d9063170d29685d6cb37e3026bdb49149ca6d7e4892c04d51","Snake, tiger","est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum","http://dummyimage.com/242x208.bmp/ff4444/ffffff","[""function"",""local"",""collaboration"",""Vision-oriented"",""Customizable"",""contextually-based"",""Up-sized""]","{""m"":""623.237""}",0,"1164.09","22793"
"149ffefb67d279c57879223715dfe50652bc647a465c09c8fa7a3fb13903a68f","Brown pelican","in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam","http://dummyimage.com/206x215.bmp/dddddd/000000","[""Cross-platform"",""tertiary"",""Horizontal"",""framework""]","{""m"":""631.495""}",0,"8882.07","1668"
"d838696b57462014f56c086224e3e6ec95c9993b48eda10103fedfc8f74ba45e","Skink, african","etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas","http://dummyimage.com/114x213.jpg/5fa2dd/ffffff","[""Configurable"",""service-desk"",""systematic"",""website"",""Triple-buffered"",""emulation"",""global""]","{""x"":""319.912"",""y"":""324.909"",""z"":""790.226"",""m"":""327.757""}",1,"3623.15","28798"
